,Title,Post number,Date,Nickname,Link
0,지금 강경젓갈시장 왔는데 가게 추천해주세요,676559,2024.11.20. 13:58,동글산들맘,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=21290369&page=1&userDisplay=50&inCafeSearch=true&searchBy=1&query=%EA%B0%95%EA%B2%BD%EC%A0%93%EA%B0%88&includeAll=&exclude=&include=&exact=&searchdate=all&media=0&sortBy=date&articleid=676559&art=aW50ZXJuYWwtY2FmZS1hcnRpY2xlLXJlYWQtaW5DYWZlLXNlYXJjaC1saXN0.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfSUQiLCJhcnRpY2xlSWQiOjY3NjU1OSwiaXNzdWVkQXQiOjE3MzI2MDYyNTY3OTAsImNhZmVJZCI6MjEyOTAzNjl9.RqxF2c-NRv9kp85_Uvxyqw41G5QNGspvdA3_Ht79AZM&where=search&referrerAllArticles=true
1,이번 강경젓갈축제 김치판매에 대해~,674975,2024.10.31. 14:23,흔한남매맘,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=21290369&page=1&userDisplay=50&inCafeSearch=true&searchBy=1&query=%EA%B0%95%EA%B2%BD%EC%A0%93%EA%B0%88&includeAll=&exclude=&include=&exact=&searchdate=all&media=0&sortBy=date&articleid=674975&art=aW50ZXJuYWwtY2FmZS1hcnRpY2xlLXJlYWQtaW5DYWZlLXNlYXJjaC1saXN0.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfSUQiLCJhcnRpY2xlSWQiOjY3NDk3NSwiaXNzdWVkQXQiOjE3MzI2MDYyNTY4MDYsImNhZmVJZCI6MjEyOTAzNjl9.eEI-CvpoLmW9VrESmARl-nyrY0TPgf7noEepcNmpK6o&where=search&referrerAllArticles=true
2,강경젓갈축제에 논산시동물보호센터에서도 왔네요,674101,2024.10.20. 14:26,딱콩,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=21290369&page=1&userDisplay=50&inCafeSearch=true&searchBy=1&query=%EA%B0%95%EA%B2%BD%EC%A0%93%EA%B0%88&includeAll=&exclude=&include=&exact=&searchdate=all&media=0&sortBy=date&articleid=674101&art=aW50ZXJuYWwtY2FmZS1hcnRpY2xlLXJlYWQtaW5DYWZlLXNlYXJjaC1saXN0.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfSUQiLCJhcnRpY2xlSWQiOjY3NDEwMSwiaXNzdWVkQXQiOjE3MzI2MDYyNTY4MjIsImNhZmVJZCI6MjEyOTAzNjl9.kRNT_qz3WQEL6GF_-IggxJSBBZFHFV3h97K2M0RLQcw&where=search&referrerAllArticles=true
3,강경젓갈축제 김치만드는거 아직하나요?,674092,2024.10.20. 11:42,도치도치맘,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=21290369&page=1&userDisplay=50&inCafeSearch=true&searchBy=1&query=%EA%B0%95%EA%B2%BD%EC%A0%93%EA%B0%88&includeAll=&exclude=&include=&exact=&searchdate=all&media=0&sortBy=date&articleid=674092&art=aW50ZXJuYWwtY2FmZS1hcnRpY2xlLXJlYWQtaW5DYWZlLXNlYXJjaC1saXN0.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfSUQiLCJhcnRpY2xlSWQiOjY3NDA5MiwiaXNzdWVkQXQiOjE3MzI2MDYyNTY4MzgsImNhZmVJZCI6MjEyOTAzNjl9.mJ1FgpJydsjOd2ytiI_-bRhZYjU4dVscVY-ml_mxmVM&where=search&referrerAllArticles=true
4,강경젓갈축제,674088,2024.10.20. 10:40,딸부자,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=21290369&page=1&userDisplay=50&inCafeSearch=true&searchBy=1&query=%EA%B0%95%EA%B2%BD%EC%A0%93%EA%B0%88&includeAll=&exclude=&include=&exact=&searchdate=all&media=0&sortBy=date&articleid=674088&art=aW50ZXJuYWwtY2FmZS1hcnRpY2xlLXJlYWQtaW5DYWZlLXNlYXJjaC1saXN0.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfSUQiLCJhcnRpY2xlSWQiOjY3NDA4OCwiaXNzdWVkQXQiOjE3MzI2MDYyNTY4NTIsImNhZmVJZCI6MjEyOTAzNjl9.4MsVJNX1J9vUU4fYIrIxw_SYEPMjqchbWkuPxU1YUw0&where=search&referrerAllArticles=true
5,강경젓갈축제장 안 키즈존 뒤..,674045,2024.10.19. 15:34,푸른새벽,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=21290369&page=1&userDisplay=50&inCafeSearch=true&searchBy=1&query=%EA%B0%95%EA%B2%BD%EC%A0%93%EA%B0%88&includeAll=&exclude=&include=&exact=&searchdate=all&media=0&sortBy=date&articleid=674045&art=aW50ZXJuYWwtY2FmZS1hcnRpY2xlLXJlYWQtaW5DYWZlLXNlYXJjaC1saXN0.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfSUQiLCJhcnRpY2xlSWQiOjY3NDA0NSwiaXNzdWVkQXQiOjE3MzI2MDYyNTY4NjYsImNhZmVJZCI6MjEyOTAzNjl9.pxktc6ndJFS7N9Or9PykTwmWPl7AcCc7Sy7gMi6N4gQ&where=search&referrerAllArticles=true
6,논산강경젓갈축제 키즈존 앞 소떡 증정 이벤트 하네요,674036,2024.10.19. 14:14,논산이사,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=21290369&page=1&userDisplay=50&inCafeSearch=true&searchBy=1&query=%EA%B0%95%EA%B2%BD%EC%A0%93%EA%B0%88&includeAll=&exclude=&include=&exact=&searchdate=all&media=0&sortBy=date&articleid=674036&art=aW50ZXJuYWwtY2FmZS1hcnRpY2xlLXJlYWQtaW5DYWZlLXNlYXJjaC1saXN0.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfSUQiLCJhcnRpY2xlSWQiOjY3NDAzNiwiaXNzdWVkQXQiOjE3MzI2MDYyNTY4ODEsImNhZmVJZCI6MjEyOTAzNjl9.vbtcGGvvifrHYzI_UYA0L0qqP4zU005NA4UeBbkhR_g&where=search&referrerAllArticles=true
7,강경젓갈축제,673957,2024.10.18. 11:14,하랑,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=21290369&page=1&userDisplay=50&inCafeSearch=true&searchBy=1&query=%EA%B0%95%EA%B2%BD%EC%A0%93%EA%B0%88&includeAll=&exclude=&include=&exact=&searchdate=all&media=0&sortBy=date&articleid=673957&art=aW50ZXJuYWwtY2FmZS1hcnRpY2xlLXJlYWQtaW5DYWZlLXNlYXJjaC1saXN0.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfSUQiLCJhcnRpY2xlSWQiOjY3Mzk1NywiaXNzdWVkQXQiOjE3MzI2MDYyNTY4OTQsImNhZmVJZCI6MjEyOTAzNjl9.tm_bCWh2fVwvu3Z1Y3r6i3A_gY-qNcrHsYHvsD37U4Y&where=search&referrerAllArticles=true
8,강경젓갈축제 체험이요..하..,673919,2024.10.17. 20:15,사랑맘1901,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=21290369&page=1&userDisplay=50&inCafeSearch=true&searchBy=1&query=%EA%B0%95%EA%B2%BD%EC%A0%93%EA%B0%88&includeAll=&exclude=&include=&exact=&searchdate=all&media=0&sortBy=date&articleid=673919&art=aW50ZXJuYWwtY2FmZS1hcnRpY2xlLXJlYWQtaW5DYWZlLXNlYXJjaC1saXN0.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfSUQiLCJhcnRpY2xlSWQiOjY3MzkxOSwiaXNzdWVkQXQiOjE3MzI2MDYyNTY5MDgsImNhZmVJZCI6MjEyOTAzNjl9.nxPxsDUJGFkYZ_V0TTQCfHGTpiKevUb01_AMrlWD6u0&where=search&referrerAllArticles=true
9,강경젓갈축제 셔틀버스? 순환버스?,673913,2024.10.17. 19:42,우니의 태리,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=21290369&page=1&userDisplay=50&inCafeSearch=true&searchBy=1&query=%EA%B0%95%EA%B2%BD%EC%A0%93%EA%B0%88&includeAll=&exclude=&include=&exact=&searchdate=all&media=0&sortBy=date&articleid=673913&art=aW50ZXJuYWwtY2FmZS1hcnRpY2xlLXJlYWQtaW5DYWZlLXNlYXJjaC1saXN0.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfSUQiLCJhcnRpY2xlSWQiOjY3MzkxMywiaXNzdWVkQXQiOjE3MzI2MDYyNTY5MjMsImNhZmVJZCI6MjEyOTAzNjl9.2TEkq0Vs_3xeo4vumTtSfmbPoHCssbCBtQ5lV7Gw3F0&where=search&referrerAllArticles=true
10,강경젓갈축제 정보,673911,2024.10.17. 19:20,망고팅,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=21290369&page=1&userDisplay=50&inCafeSearch=true&searchBy=1&query=%EA%B0%95%EA%B2%BD%EC%A0%93%EA%B0%88&includeAll=&exclude=&include=&exact=&searchdate=all&media=0&sortBy=date&articleid=673911&art=aW50ZXJuYWwtY2FmZS1hcnRpY2xlLXJlYWQtaW5DYWZlLXNlYXJjaC1saXN0.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfSUQiLCJhcnRpY2xlSWQiOjY3MzkxMSwiaXNzdWVkQXQiOjE3MzI2MDYyNTY5MzcsImNhZmVJZCI6MjEyOTAzNjl9.TnKQ5jYIVrdrD5h7TqWperCOktxSShY65gTumTMHFS4&where=search&referrerAllArticles=true
11,강경젓갈축제,673902,2024.10.17. 18:18,하랑,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=21290369&page=1&userDisplay=50&inCafeSearch=true&searchBy=1&query=%EA%B0%95%EA%B2%BD%EC%A0%93%EA%B0%88&includeAll=&exclude=&include=&exact=&searchdate=all&media=0&sortBy=date&articleid=673902&art=aW50ZXJuYWwtY2FmZS1hcnRpY2xlLXJlYWQtaW5DYWZlLXNlYXJjaC1saXN0.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfSUQiLCJhcnRpY2xlSWQiOjY3MzkwMiwiaXNzdWVkQXQiOjE3MzI2MDYyNTY5NTAsImNhZmVJZCI6MjEyOTAzNjl9.xmCCtTMki-lkDvDKd0aQMHLmLQACBMzmJq7gEbi63TU&where=search&referrerAllArticles=true
